id_str,favorite_count,retweet_count,user_verified,user_followers_count,user_listed_count,user_friends_count,user_favourites_count
693204708933160960,793,321,True,35286038,60861,319,707
767223774072676354,569,627,True,57464651,186645,120,21
524941504796962816,94,382,True,2911696,15253,1175,6119
532106726539939841,321,413,True,241680,2378,1202,22515
691809004356501505,909,605,True,12947306,61498,229,0
532206910796468224,105,122,True,2925601,33121,282,1047
551117430345711616,37,153,True,190159,2639,1665,839
520284654755381249,44,115,True,9785903,126039,2752,1373
516420964834611201,34,96,False,82883,2044,271,426
516545908813475841,119,261,False,226290,2309,175415,36262
500377145349521411,161,149,True,1181594,10697,2031,8843
767710245779103744,1034,834,True,57464651,186645,120,21
550131732805328896,146,102,True,1324623,3959,2586,5055
766989078294306816,1617,645,True,11428321,72830,10,2
510906049549705216,27,174,False,70941,1411,0,1
689650617464311813,451,255,True,2349792,44656,4191,10604
565999191982616577,32,110,True,139554,5007,3262,3758
693595814401327104,1137,727,True,11773589,35680,115586,29866
726043971911213057,174,138,True,1328284,9596,114,970
687945926774800385,267,583,True,42930389,140013,3,0
387007120689737729,41,228,True,15468,757,1380,8471
714531423273746432,140,159,False,35422,868,3303,23321
576513463738109954,13,44,True,2524610,14000,2308,667
723365789378584578,205,232,True,1735938,4228,514,280
651809229842608128,2,152,False,6041,161,4666,8517
515519742355185664,22,110,False,8986,163,3885,4457
554343513887105024,60,235,True,14011036,98162,7035,2912
692046121250586624,332,335,True,3841049,30008,724,3301
693696168908423168,263,247,True,57464651,186645,120,21
693554344298467328,412,279,True,46300958,206488,904,18483
531568534066057217,63,149,False,2272,48,96,8
524925730053181440,60,679,True,1287441,9049,410,0
503498696273965056,27,117,True,3337703,13241,337,3135
551099691702956032,136,118,True,11773589,35680,115586,29866
499530130487017472,57,348,True,290370,3966,954,161632
675434959939756032,365,324,True,1196389,13800,462,1590
714598641827246081,144,98,True,223592,2202,982,32592
580320684305416192,11,52,True,58031,1786,2435,5532
767515401831997440,2119,916,True,11428321,72830,10,2
80080680482123777,30,108,True,9785903,126039,2752,1373
545271117355958272,98,134,True,2650393,37581,169,1420
524312881823637504,692,273,True,6278720,17692,428,431
553503184174710784,26,121,True,3076425,23049,553,963
514106273852174337,192,477,True,7520117,44780,1823,785
450341615979069440,85,101,True,5969424,21568,3900,783
525327108520673281,69,98,True,2865330,18549,748,269
692082337333534720,388,252,True,12947306,61498,229,0
532284428542681088,183,312,True,3197635,24616,1146,3
532199717594497024,173,194,True,530458,4301,992,1777
387233034350514176,19,104,False,12025,296,601,5269
692838349036326912,753,311,True,15840086,31545,31410,20075
550038665653542913,121,104,True,2019457,18145,11101,4189
689719109785907200,158,380,True,42930389,140013,3,0
692892472729415680,691,417,True,35286038,60861,319,707
693122199536934912,168,280,True,21799765,123618,1114,749
524185876931162112,294,453,True,43629,1298,416,595
495366618818830336,310,132,False,106475,1614,605,66370
509464457836511232,487,179,True,2480187,2081,865,58197
568589712644026368,538,280,False,46948,1021,1057,16711
407231591191035904,25,132,False,5899,98,889,12490
407254590363426816,286,596,True,3736976,14793,65693,20942
706665777332621314,114,89,True,1068034,14700,123152,16720
689214940679409664,89,260,True,4037972,21356,3,0
407167258452971520,192,160,True,331178,2173,710,16151
550284252672450560,179,164,True,11773589,35680,115586,29866
500303431928922113,58,89,True,1140266,8675,711,8187
549927969032916993,44,95,True,181224,2033,944,2338
387281927427727360,58,326,True,9248,514,1087,49
522782267215982592,58,204,True,2321363,10432,4527,528
519929168864497664,305,270,False,20543,290,752,15031
489829414704648192,21,463,True,203182,779,2517,1642
436089462326849536,251,457,False,3363,14,4660,756
715515982584881152,371,523,True,1140266,8675,711,8187
531530591427391488,47,98,True,17040966,104261,495,536
553184482241814530,109,121,True,101771,2055,1980,42728
